title,year,genre,runtime,rating,synopsis,director,vote
Magari,(2019),"
Drama            ",104 min,6.6,"
Add a Plot
",Ginevra Elkann,197
Ice Cream in the Cupboard,(2019),"
Biography, Drama, Romance            ",,7.1,"
    After being physically attacked by his loving wife Carmen, a series of unsettling incidents lead her husband Pat to question just what is happening to her. It's only when Carmen can't find ...                See full summary »
",Drew Pollins,9
Prostoy karandash,(2019),"
Drama            ",92 min,6.1,"
    Antonina, an artist from Saint Petersburg, follows her husband, a political prisoner, to the deep north province of Russia. As she starts teaching art in a local school, she finds herself ...                See full summary »
",Natalya Nazarova,72
Haunt,(I) (2019),"
Horror, Thriller            ",92 min,6.3,"
    On Halloween, a group of friends encounter an ""extreme"" haunted house that promises to feed on their darkest fears. The night turns deadly as they come to the horrifying realization that some nightmares are real.",Scott Beck,14715
Scary Stories to Tell in the Dark,(2019),"
Adventure, Horror, Mystery            ",108 min,6.2,"
    On Halloween 1968, Stella and her two friends meet a mysterious drifter, Ramón, and uncover a sinister notebook of stories.",André Øvredal,50027
The Art of Racing in the Rain,(2019),"
Comedy, Drama, Romance            ",109 min,7.5,"
    Through his bond with his owner, aspiring Formula One race car driver Denny, golden retriever Enzo learns that the techniques needed on the racetrack can also be used to successfully navigate the journey of life.",Simon Curtis,19303
Barot House,(2019),"
Thriller            ",89 min,7.3,"
    A series of inexplicable and gruesome killings tear the Barot family apart and destroy the close relationship between father and son. Who could be behind this mindless slaughter? When the ...                See full summary »
",Bugs Bhargava,705
The Battle: Roar to Victory,(2019),"
Action, Drama, History            ",135 min,5.6,"
    Over a 4 day period, a fierce battle takes place between Korean independence militias and imperialist Japanese forces in Manchuria, China. The militia includes a master swordsman and an expert marksman.",Shin-yeon Won,316
The Treasure 2,(2019),"
Action, Adventure, Drama            ",150 min,7.2,"
    The treasure in the second part (love and Fate) is complemented by the struggle of the characters in order to reach or protect the treasure, in addition to their love or life. The film ...                See full summary »
",Sharif Arafah,503
Kak my zakhotim,(2019),"
Drama            ",84 min,1.0,"
    Katya and Pasha are a Moscow student couple in their early twenties. They don't care about politics or authorities. They aren't really rebellious, they just want to be left alone and have ...                See full summary »
",Vladimir Kozlov,5
Xenophobia,(2019),"
Sci-Fi            ",82 min,2.2,"
    Six complete strangers recall the details of their individual experiences with alien forces-sharing the terrifying stories of their abductions and possessions.",Joe Castro,171
Pentagram,(2019),"
Horror            ",80 min,2.9,"
    A group of teenagers must somehow survive the night when they find themselves trapped within a pentagram. To stay inside the candlelit confines means safety; to escape means certain death at the hands of a mysterious entity.",Steve Lawson,154
One Remains,(2019),"
Horror            ",93 min,2.7,"
    When a group of filmmakers trek deep into the woods to investigate a missing persons case, they inadvertently start a chain of events that lead to horrific consequences.",Josh Hodgins,174
Defiant,(2019),"
Action, Drama, Sci-Fi            ",98 min,4.3,"
    An up-and-coming amnesiac soldier is framed for the murder of the Sovereign Leader of the New World.",Stephen Krist,55
Professor Mack,(2019),"
Comedy, Romance            ",83 min,4.2,"
    When a confident college professor is courted by four eligible and well-established men, she struggles to decide who she likes the best.",Christopher Nolen,129
3 Lives,(2019),"
Thriller            ",81 min,3.2,"
    A woman on the run from ruthless kidnappers discovers her rescuer is the man jailed for attacking her 15 years earlier.",Juliane Block,214
Slaughterhouse Slumber Party,(2019),"
Horror            ",85 min,5.9,"
    What started as the debauched annual slumber party for a tight knit group of gal pals becomes a fight for their lives when supernatural evil threatens to destroy the world.",Dustin Mills,49
I Love Lucy: A Colorized Celebration,(2019),"
Comedy            ",155 min,8.9,"
    A collection of five uncut, full-length colorized episodes on Lucille Ball's 'I Love Lucy'.",Desi Arnaz,9
"This Time, Maybe",(2019),"
Comedy, Drama            ",90 min,3.0,"
    Seven couples are at turning points, trying to navigate their relationships and careers one moment at a time. THIS TIME, MAYBE is a sometimes thought-provoking, sometimes comedic, and ...                See full summary »
",Lincoln Hall,34
Crazy Birds,(2019),"
Animation            ",73 min,2.9,"
    It's springtime in Fernville, and that means it's time for the annual talent show, where the jungle animals get to show off their singing skills! Birds Marshall and Mimi are a show favorite...                See full summary »
",James Snider,34
50 Days,(2019),"
Thriller            ",76 min,4.7,"
    50 Days is the story of a high schooler, who spends most of his free time on social media, playing internet games and chatting with friends. The film is based on real incidents.",Chandra Duvvuri,7
It's Here,(2019),"
Animation            ",70 min,2.5,"
    Beware. It's coming for you. When clowns come to town, smiles turn upside down in this fright-fest from the studio that brought you Strange Events and All Hallows' Eve.",Alessandro Frosali,13
Meet The Space Guardians,(2019),"
Animation            ",81 min,2.0,"
    Universally-famous Space Guardian, Squeak, has been spending his downtime working the fly-thru window of his favorite fast food joint, Spacejack's, when he is unexpectedly called back into ...                See full summary »
",James Snider,6
Indak,(2019),"
Drama, Musical, Romance            ",117 min,7.5,"
    A young woman joins a dance crew preparing to compete in South Korea.",Paul Alexei Basinillo,26
The Manson Family Massacre,(2019),"
Crime, Horror, Thriller            ",90 min,3.2,"
    In this unique take on the infamous Manson murders we follow two generations of chilling real life events which occur at 10050 Cielo Drive, one of America's most notorious addresses.",Andrew Jones,230
The Final Scream,(2019),"
Horror            ",91 min,5.8,"
    Aspiring actress, Kia Anderson, is about to learn that the final callback for a horror feature film is something more than she could have ever imagined. Something sinister is waiting for Kia.",Scott Jeffrey,339
Sedmoy probeg po konturu Zemnogo shara,(2019),"
Drama            ",95 min,3.0,"
    Mikhail is 59 years old, and for more than 30 years he works at the motor transport enterprise, were he lives in a self-made workshop. He has a beloved pregnant daughter, a hobby to draw ...                See full summary »
",Vitaliy Suslin,6
Honest Thieves,(2019),"
Adventure, Comedy, Crime            ",99 min,7.8,"
    Five misfits attempt to rob an antique heirloom with the plan to turn it in to the police and collect a reward.",Gor Kirakosian,23
The Devil Has a Name,(2019),"
Drama            ",97 min,7.2,"
    A psychotic oil matriarch leaves the whole industry exposed when she attempts to outfight a bullish farmer whose water has been poisoned.",Edward James Olmos,24
Shanghai Fortress,(2019),"
Sci-Fi, War            ",107 min,4.3,"
    In 2035, aliens have wiped out mega cities around the globe to get their main source of energy, Xianteng. Will Shanghai be able to defend itself and maybe even launch a counterattack?",Hua-Tao Teng,1625
Shuang Shi Qing She,(2019),"
Action, Fantasy            ",78 min,6.3,"
    Green Snake was saved by Xunya, whose primordial spirit was a dragon, when she fell into the River after being struck by lightning. She suffers from a cold toxin from time to time, but she ...                See full summary »
",Fei Xu,18
Smert nam k litsu,(2019),"
Comedy, Drama            ",,5.3,"
    The comedy melodrama in mockumentary format. Maria is seriously ill preparing for death: chooses a coffin, buys a dress, orders a place in the cemetery. Despite his wife has already ...                See full summary »
",Boris Guts,38
Arctic Apocalypse,(2019),"
Action, Adventure, Drama            ",88 min,2.1,"
    A massive influx of glacial melting triggers a new ice age in the Northern Hemisphere, forcing a family to make their way across the ice-covered landscape before they are frozen out for good.",Eric Paul Erickson,269
Line Walker 2: Invisible Spy,(2019),"
Action, Crime, Thriller            ",98 min,5.9,"
    After they uncover evidence that there is corruption in the police force, three police officers in Hong Kong try to discover which of them can be trusted.",Jazz Boon,522
ANi,(2019),"
Drama, Fantasy, Sci-Fi            ",120 min,3.3,"
    When his grandfather falls ill, an orphaned boy and his malfunctioning robot embark on a quest to save the old man's life.",Sandro Del Rosario,6
Below,(2019),"
Drama            ",,4.1,"
    In a near-future, darknet grifter Dougie is recruited to work security at a refugee detention centre. There, he is drawn into an underground operation blackmailing detainees to fight for ...                See full summary »
",Maziar Lahooti,45
Expo,(2019),"
Action, Crime, Drama            ",80 min,2.4,"
    With only three days to prove his innocence, a struggling ex-soldier (Derek Davenport) is forced to take one last job and save his client's kidnapped daughter (Amelia Haberman) or face time for a crime he did not commit.",Joseph Mbah,261
The Reliant,(2019),"
Action            ",140 min,3.5,"
    Economic collapse causes widespread rioting and social unrest, leaving a lovesick 19-year-old girl struggling to care for her siblings in a stretch of woods bordered by lawless anarchy, ...                See full summary »
",Paul Munger,1254
